first_name,last_name,emp_no,birth_date,from_date,to_date,title
Satoru,Yoshizawa,19350,1965-01-19,1994-03-27,9999-01-01,Senior Staff
Satoru,Yoshizawa,19350,1965-01-19,1994-03-27,9999-01-01,Staff
Ziva,Kowalchuk,19803,1965-01-30,1987-06-13,9999-01-01,Engineer
Ziva,Kowalchuk,19803,1965-01-30,1987-06-13,9999-01-01,Senior Engineer
Utz,Heuter,20100,1965-01-18,1986-06-15,9999-01-01,Senior Staff
Utz,Heuter,20100,1965-01-18,1986-06-15,9999-01-01,Staff
Kazunori,Peak,20128,1965-01-23,1999-08-13,9999-01-01,Senior Staff
Rafael,Skafidas,20129,1965-01-10,1991-03-28,9999-01-01,Engineer
Rafael,Skafidas,20129,1965-01-10,1991-03-28,9999-01-01,Senior Engineer
Vidar,Demri,20248,1965-01-12,1999-12-31,9999-01-01,Staff
Candida,Benveniste,20313,1965-01-24,1999-01-20,9999-01-01,Engineer
Christoph,Trystram,20500,1965-01-30,1993-10-15,9999-01-01,Senior Staff
Christoph,Trystram,20500,1965-01-30,1993-10-15,9999-01-01,Staff
Valeri,Escriba,20712,1965-01-26,1994-04-09,1998-05-02,Engineer
Heejo,Brodie,20720,1965-01-17,1996-12-27,1997-05-17,Senior Staff
Otmar,Rothenberg,20885,1965-01-21,1989-03-14,9999-01-01,Engineer
Otmar,Rothenberg,20885,1965-01-21,1989-03-14,9999-01-01,Senior Engineer
Jianhui,Cangellaris,21181,1965-01-21,1991-10-06,9999-01-01,Assistant Engineer
Jianhui,Cangellaris,21181,1965-01-21,1991-10-06,9999-01-01,Engineer
Piyush,Danecki,21188,1965-01-21,2000-01-08,9999-01-01,Engineer
Alagu,Luders,21534,1965-01-12,1996-04-03,1997-12-14,Staff
Yongmin,Lanteri,21546,1965-01-01,2002-03-19,9999-01-01,Senior Staff
Yongmin,Lanteri,21546,1965-01-01,1988-02-16,2002-03-19,Senior Staff
Karsten,Azadmanesh,21843,1965-01-09,1985-11-29,9999-01-01,Senior Engineer
Mohammed,Brizzi,21909,1965-01-04,1991-12-28,9999-01-01,Senior Staff
Mohammed,Brizzi,21909,1965-01-04,1991-12-28,9999-01-01,Staff
Sangeeta,Georg,22027,1965-01-27,1992-07-31,1998-03-14,Staff
Huai,Birch,22185,1965-01-29,2002-06-12,9999-01-01,Assistant Engineer
Huai,Birch,22185,1965-01-29,2002-06-12,9999-01-01,Engineer
Huai,Birch,22185,1965-01-29,1996-03-26,2002-06-12,Assistant Engineer
Huai,Birch,22185,1965-01-29,1996-03-26,2002-06-12,Engineer
Perla,Jumpertz,22415,1965-01-20,1994-08-24,9999-01-01,Senior Staff
Jasminko,Bresenham,22451,1965-01-27,1994-01-19,9999-01-01,Senior Staff
Jasminko,Bresenham,22451,1965-01-27,1994-01-19,9999-01-01,Staff
Jasminko,Bresenham,22451,1965-01-27,1987-12-16,1994-01-19,Senior Staff
Jasminko,Bresenham,22451,1965-01-27,1987-12-16,1994-01-19,Staff
Barry,Unno,22455,1965-01-06,1990-11-16,9999-01-01,Senior Staff
Barry,Unno,22455,1965-01-06,1990-11-16,9999-01-01,Staff
Rutger,Binkley,22502,1965-01-29,1989-10-16,2001-11-02,Senior Engineer
Manibrata,Genther,22926,1965-01-01,1988-01-15,9999-01-01,Engineer
Manibrata,Genther,22926,1965-01-01,1988-01-15,9999-01-01,Senior Engineer
Hilari,Fairtlough,23396,1965-01-02,1986-12-15,9999-01-01,Technique Leader
Jaana,Perez,24080,1965-01-26,1996-03-11,9999-01-01,Technique Leader
Abdelaziz,Atrawala,24189,1965-01-16,1993-03-28,1997-02-23,Staff
Roddy,Rubsam,24205,1965-01-25,1993-09-19,9999-01-01,Senior Engineer
Lubomir,Wroclawski,24377,1965-01-25,1993-07-25,9999-01-01,Engineer
Lubomir,Wroclawski,24377,1965-01-25,1993-07-25,9999-01-01,Senior Engineer
Zhonghui,Conta,24394,1965-01-04,1994-09-10,9999-01-01,Staff
Dannz,Grospietsch,24421,1965-01-10,1990-09-01,2000-10-12,Senior Engineer
Anwar,Passafiume,24553,1965-01-12,1987-01-30,9999-01-01,Senior Staff
Anwar,Passafiume,24553,1965-01-12,1987-01-30,9999-01-01,Staff
Cordelia,Gischer,24571,1965-01-20,1989-03-14,9999-01-01,Engineer
Cordelia,Gischer,24571,1965-01-20,1989-03-14,9999-01-01,Senior Engineer
Ingmar,Basawa,25488,1965-01-19,1991-11-09,9999-01-01,Senior Staff
Ingmar,Basawa,25488,1965-01-19,1991-11-09,9999-01-01,Staff
Bilhanan,Karcich,26476,1965-01-19,1996-04-09,1997-02-04,Staff
Shietung,Billingsley,26503,1965-01-27,1998-11-07,1998-12-02,Senior Staff
Berto,Bruckman,26617,1965-01-06,1991-11-23,1994-03-27,Engineer
Nevin,Rodham,26629,1965-01-28,1998-12-14,9999-01-01,Senior Staff
Jiakeng,Kalorkoti,26671,1965-01-21,1994-12-25,9999-01-01,Engineer
Jiakeng,Kalorkoti,26671,1965-01-21,1994-12-25,9999-01-01,Senior Engineer
Zongyan,Dalphin,26788,1965-01-25,1988-04-23,9999-01-01,Engineer
Zongyan,Dalphin,26788,1965-01-25,1988-04-23,9999-01-01,Senior Engineer
Chenyi,Plump,27150,1965-01-06,1992-06-23,1995-05-22,Staff
Wanqing,Krohm,27331,1965-01-19,1991-01-22,9999-01-01,Senior Staff
Wanqing,Krohm,27331,1965-01-19,1991-01-22,9999-01-01,Staff
Piyawadee,Leppanen,27378,1965-01-28,1999-02-25,9999-01-01,Senior Staff
Shuji,Kandlur,27620,1965-01-25,1990-03-02,9999-01-01,Engineer
Shuji,Kandlur,27620,1965-01-25,1990-03-02,9999-01-01,Senior Engineer
Manu,Rosiles,27686,1965-01-28,1998-03-03,9999-01-01,Senior Staff
Falguni,Pezzoli,27699,1965-01-15,1996-12-23,9999-01-01,Engineer
Tooru,Veldwijk,27767,1965-01-27,1993-11-21,9999-01-01,Senior Staff
Tooru,Veldwijk,27767,1965-01-27,1993-11-21,9999-01-01,Staff
KayLiang,Miyakawa,27970,1965-01-12,1995-11-22,2000-02-07,Technique Leader
Xinglin,Mitsuhashi,28193,1965-01-29,1988-12-14,9999-01-01,Engineer
Xinglin,Mitsuhashi,28193,1965-01-29,1988-12-14,9999-01-01,Senior Engineer
Mayuko,Vitiello,28222,1965-01-11,1993-12-22,1995-10-16,Technique Leader
Chenxi,Sundgren,28974,1965-01-09,1986-09-02,9999-01-01,Senior Engineer
Tua,Giveon,28988,1965-01-18,1998-09-09,9999-01-01,Technique Leader
Xumin,Thorensen,29130,1965-01-06,1998-04-26,9999-01-01,Staff
Gilbert,Calkin,29265,1965-01-14,1988-03-21,9999-01-01,Senior Staff
Gilbert,Calkin,29265,1965-01-14,1988-03-21,9999-01-01,Staff
Satoru,Vidal,29380,1965-01-30,1998-05-02,9999-01-01,Assistant Engineer
Valery,Mersereau,29418,1965-01-22,1998-07-01,9999-01-01,Assistant Engineer
Kolar,Steenbeek,29679,1965-01-17,1986-10-18,9999-01-01,Senior Engineer
Jouko,Hellwagner,29782,1965-01-29,2000-10-23,9999-01-01,Senior Engineer
Jouko,Hellwagner,29782,1965-01-29,1994-12-21,2000-10-23,Senior Engineer
Pranay,Giarratana,29954,1965-01-27,1992-09-29,9999-01-01,Senior Engineer
Kousuke,Vecchio,30007,1965-01-24,1990-02-23,9999-01-01,Engineer
Kousuke,Vecchio,30007,1965-01-24,1990-02-23,9999-01-01,Senior Engineer
Tetsushi,Conta,30035,1965-01-08,1995-07-04,9999-01-01,Senior Staff
Mayuko,Skafidas,30154,1965-01-26,1999-04-19,9999-01-01,Technique Leader
Leon,Potthoff,30182,1965-01-26,1985-12-08,9999-01-01,Engineer
Leon,Potthoff,30182,1965-01-26,1985-12-08,9999-01-01,Senior Engineer
Randi,Avouris,30465,1965-01-28,1986-07-16,9999-01-01,Engineer
Randi,Avouris,30465,1965-01-28,1986-07-16,9999-01-01,Senior Engineer
Sailaja,Chvatal,30484,1965-01-11,1999-05-18,9999-01-01,Staff
Yishai,Terlouw,30552,1965-01-18,1986-09-19,1999-01-07,Engineer
Yishai,Terlouw,30552,1965-01-18,1986-09-19,1999-01-07,Senior Engineer
Gudjon,Majewski,30695,1965-01-08,1999-10-26,9999-01-01,Senior Engineer
Yakkov,Samarati,30938,1965-01-06,1997-10-10,9999-01-01,Senior Staff
Yakkov,Samarati,30938,1965-01-06,1997-10-10,9999-01-01,Staff
Yakkov,Samarati,30938,1965-01-06,1995-05-23,1997-10-10,Senior Staff
Yakkov,Samarati,30938,1965-01-06,1995-05-23,1997-10-10,Staff
Divine,Sidhu,31147,1965-01-04,1989-07-05,9999-01-01,Senior Staff
Tuval,Waleschkowski,31170,1965-01-08,1987-10-16,1988-12-14,Senior Staff
Leandro,Gist,31188,1965-01-12,1993-02-03,9999-01-01,Technique Leader
Abdelwaheb,Dulin,31207,1965-01-30,1993-08-05,9999-01-01,Senior Engineer
Oksana,Zultner,31341,1965-01-01,1991-03-23,9999-01-01,Senior Staff
Oksana,Zultner,31341,1965-01-01,1991-03-23,9999-01-01,Staff
Harngdar,Schapire,31514,1965-01-13,1996-11-09,9999-01-01,Engineer
Harngdar,Schapire,31514,1965-01-13,1996-11-09,9999-01-01,Senior Engineer
Mark,Lalonde,31568,1965-01-10,1996-11-24,9999-01-01,Staff
Qingxiang,Gewali,31599,1965-01-05,1997-09-22,1998-12-01,Engineer
Toong,Veldwijk,31629,1965-01-24,1986-07-28,1996-04-26,Assistant Engineer
Toong,Veldwijk,31629,1965-01-24,1986-07-28,1996-04-26,Engineer
Murthy,Peek,31909,1965-01-10,2000-10-30,9999-01-01,Engineer
Murthy,Peek,31909,1965-01-10,1994-07-19,2000-10-30,Engineer
Terresa,Peres,32347,1965-01-08,1990-09-15,9999-01-01,Senior Staff
Terresa,Peres,32347,1965-01-08,1990-09-15,9999-01-01,Staff
Atreye,Stanger,32552,1965-01-17,1993-09-10,9999-01-01,Assistant Engineer
Atreye,Stanger,32552,1965-01-17,1993-09-10,9999-01-01,Engineer
Piyush,Paciorek,32622,1965-01-23,1991-04-07,1991-07-18,Staff
Piyush,Paciorek,32622,1965-01-23,1991-07-18,1991-08-07,Staff
Ingmar,Nannarelli,32649,1965-01-12,1988-06-10,9999-01-01,Senior Staff
Radoslaw,Maliniak,32714,1965-01-16,2001-09-18,9999-01-01,Staff
Radoslaw,Maliniak,32714,1965-01-16,1997-11-17,2001-09-18,Staff
Tadahiko,Melton,32844,1965-01-23,1995-01-07,9999-01-01,Engineer
Jessie,Thorelli,33025,1965-01-12,1999-12-16,9999-01-01,Senior Staff
Steen,Fasbender,33215,1965-01-29,1993-02-14,9999-01-01,Technique Leader
Adamantios,Vanwelkenhuysen,33293,1965-02-01,1994-01-11,2000-08-18,Assistant Engineer
Adamantios,Vanwelkenhuysen,33293,1965-02-01,1994-01-11,2000-08-18,Engineer
Clyde,Swift,33606,1965-01-02,1994-11-14,1996-12-29,Staff
Anwar,Collette,33722,1965-01-15,1994-03-22,2001-02-03,Senior Engineer
Anwar,Collette,33722,1965-01-15,2001-02-03,9999-01-01,Senior Engineer
Angel,Sichman,34077,1965-01-08,1988-11-16,9999-01-01,Senior Staff
Angel,Sichman,34077,1965-01-08,1988-11-16,9999-01-01,Staff
Kyoichi,Callaway,34261,1965-01-05,1990-12-30,9999-01-01,Senior Staff
Kyoichi,Callaway,34261,1965-01-05,1990-12-30,9999-01-01,Staff
Chinhyun,Bauknecht,34446,1965-01-31,1986-12-19,9999-01-01,Senior Engineer
Naftaly,Foong,34452,1965-01-08,1991-05-10,9999-01-01,Engineer
Naftaly,Foong,34452,1965-01-08,1991-05-10,9999-01-01,Senior Engineer
Felicidad,Kumaresan,34505,1965-01-28,1994-09-06,9999-01-01,Senior Staff
Felicidad,Kumaresan,34505,1965-01-28,1994-09-06,9999-01-01,Staff
Erzsebet,Shigei,34533,1965-01-10,1991-01-21,1995-01-16,Senior Engineer
Erzsebet,Shigei,34533,1965-01-10,1995-01-16,9999-01-01,Senior Engineer
Moni,Kohling,34780,1965-01-16,1994-07-21,2001-09-18,Staff
Moni,Kohling,34780,1965-01-16,2001-09-18,9999-01-01,Staff
Ennio,Babu,34788,1965-01-27,1994-08-31,9999-01-01,Senior Engineer
Bokyung,Stamatiou,34936,1965-01-12,1991-02-12,9999-01-01,Technique Leader
Jiang,Waschkowski,35044,1965-01-04,1989-05-27,9999-01-01,Engineer
Jiang,Waschkowski,35044,1965-01-04,1989-05-27,9999-01-01,Senior Engineer
Leif,Ashish,35087,1965-01-17,1994-10-14,9999-01-01,Senior Staff
Leif,Ashish,35087,1965-01-17,1994-10-14,9999-01-01,Staff
Chandrasekaran,Peek,35441,1965-01-31,1988-02-07,1990-09-17,Engineer
Chandrasekaran,Peek,35441,1965-01-31,1988-02-07,1990-09-17,Senior Engineer
Chandrasekaran,Peek,35441,1965-01-31,1990-09-17,9999-01-01,Engineer
Chandrasekaran,Peek,35441,1965-01-31,1990-09-17,9999-01-01,Senior Engineer
Ashish,Talmon,35642,1965-01-30,1995-06-13,1999-02-28,Engineer
Ashish,Talmon,35642,1965-01-30,1995-06-13,1999-02-28,Senior Engineer
Ashish,Talmon,35642,1965-01-30,1999-02-28,9999-01-01,Engineer
Ashish,Talmon,35642,1965-01-30,1999-02-28,9999-01-01,Senior Engineer
Oscar,Kusalik,35793,1965-01-01,1991-05-11,9999-01-01,Senior Staff
Oscar,Kusalik,35793,1965-01-01,1991-05-11,9999-01-01,Staff
Ulf,Oberman,35798,1965-01-29,1997-03-15,9999-01-01,Senior Engineer
Serif,Gladwell,36521,1965-01-21,1987-03-06,9999-01-01,Senior Staff
Serif,Gladwell,36521,1965-01-21,1987-03-06,9999-01-01,Staff
Fen,Genin,36626,1965-01-02,1986-05-09,9999-01-01,Senior Staff
Uma,Reinhard,36733,1965-01-04,1997-11-01,9999-01-01,Staff
Hailing,Levergood,36844,1965-01-01,2000-01-12,9999-01-01,Staff
Kotesh,Rajala,36982,1965-01-22,1992-06-23,9999-01-01,Engineer
Kotesh,Rajala,36982,1965-01-22,1992-06-23,9999-01-01,Senior Engineer
Jeong,Undy,37070,1965-01-22,1985-02-13,9999-01-01,Senior Staff
Jeong,Undy,37070,1965-01-22,1985-02-13,9999-01-01,Staff
Berni,Stranks,37592,1965-02-01,1985-11-05,1992-09-19,Engineer
Nakhoon,Buescher,37719,1965-01-31,1988-06-12,1999-01-17,Assistant Engineer
Nakhoon,Buescher,37719,1965-01-31,1988-06-12,1999-01-17,Engineer
Suzette,Butterworth,37945,1965-01-02,1994-02-19,9999-01-01,Senior Engineer
Ulf,Himler,38017,1965-01-24,1994-01-02,1995-08-05,Staff
Ulf,Himler,38017,1965-01-24,1995-08-05,1997-11-28,Staff
Michaela,Randi,38043,1965-01-05,1985-11-23,9999-01-01,Engineer
Michaela,Randi,38043,1965-01-05,1985-11-23,9999-01-01,Senior Engineer
Masasuke,Babu,38103,1965-01-12,1988-03-31,9999-01-01,Engineer
Masasuke,Babu,38103,1965-01-12,1988-03-31,9999-01-01,Senior Engineer
Fumiko,Deverell,38168,1965-01-14,1987-08-15,9999-01-01,Senior Staff
Fumiko,Deverell,38168,1965-01-14,1987-08-15,9999-01-01,Staff
JoAnne,Baez,38550,1965-01-14,1987-02-16,9999-01-01,Senior Engineer
Huei,Orsini,38593,1965-01-14,1986-06-04,9999-01-01,Engineer
Huei,Orsini,38593,1965-01-14,1986-06-04,9999-01-01,Senior Engineer
Shuichi,Ruemmler,38947,1965-01-25,1998-04-08,9999-01-01,Senior Staff
Shuichi,Ruemmler,38947,1965-01-25,1998-04-08,9999-01-01,Staff
Shuichi,Ruemmler,38947,1965-01-25,1991-03-08,1998-04-08,Senior Staff
Shuichi,Ruemmler,38947,1965-01-25,1991-03-08,1998-04-08,Staff
Martijn,Vendrig,39000,1965-01-08,1997-03-03,9999-01-01,Senior Staff
Martijn,Vendrig,39000,1965-01-08,1997-03-03,9999-01-01,Staff
Changho,Cappelli,39036,1965-01-08,1996-05-04,9999-01-01,Staff
Constantijn,Awdeh,39268,1965-01-10,1987-10-20,1990-06-10,Engineer
Rimon,Kawashima,39301,1965-01-07,1992-02-06,9999-01-01,Senior Staff
Rimon,Kawashima,39301,1965-01-07,1992-02-06,9999-01-01,Staff
Mahmut,Lampe,39341,1965-01-01,1985-05-11,9999-01-01,Engineer
Mahmut,Lampe,39341,1965-01-01,1985-05-11,9999-01-01,Senior Engineer
Otmar,Sudbeck,39952,1965-01-02,1998-07-22,9999-01-01,Staff
Toshiki,Ghazalie,40269,1965-01-10,1991-12-05,9999-01-01,Senior Staff
Toshiki,Ghazalie,40269,1965-01-10,1991-12-05,9999-01-01,Staff
Sudhanshu,Boissier,40283,1965-01-07,1985-05-11,9999-01-01,Engineer
Sudhanshu,Boissier,40283,1965-01-07,1985-05-11,9999-01-01,Senior Engineer
Spyrose,Felder,40301,1965-01-20,1996-06-16,1997-10-20,Senior Engineer
Spyrose,Felder,40301,1965-01-20,1997-10-20,9999-01-01,Senior Engineer
Harngdar,Bernardinello,40536,1965-01-20,1988-02-29,9999-01-01,Engineer
Harngdar,Bernardinello,40536,1965-01-20,1988-02-29,9999-01-01,Senior Engineer
Wayne,Erev,40648,1965-01-23,1990-09-19,1993-02-02,Staff
Michaela,Ramsak,40765,1965-01-01,1992-12-21,9999-01-01,Senior Staff
Michaela,Ramsak,40765,1965-01-01,1992-12-21,9999-01-01,Staff
Shimshon,Aingworth,40773,1965-01-09,1986-04-13,9999-01-01,Senior Staff
Shimshon,Aingworth,40773,1965-01-09,1986-04-13,9999-01-01,Staff
Youpyo,Castellani,40785,1965-01-31,1998-09-04,1999-10-14,Engineer
Marla,Cherinka,40983,1965-01-17,1986-12-01,9999-01-01,Technique Leader
Petter,Thummel,41114,1965-01-25,1995-12-24,9999-01-01,Technique Leader
Bikash,Buchter,41137,1965-01-20,1987-11-23,1996-01-08,Senior Staff
Bikash,Buchter,41137,1965-01-20,1987-11-23,1996-01-08,Staff
Bikash,Buchter,41137,1965-01-20,1996-01-08,9999-01-01,Senior Staff
Bikash,Buchter,41137,1965-01-20,1996-01-08,9999-01-01,Staff
Willard,Vernadat,41357,1965-01-06,1997-03-04,9999-01-01,Engineer
Keung,Schapiro,41518,1965-01-11,2001-02-08,9999-01-01,Senior Engineer
Keung,Schapiro,41518,1965-01-11,1998-04-19,2001-02-08,Senior Engineer
Xiong,Uhrik,41520,1965-01-20,1988-03-21,9999-01-01,Senior Engineer
Uno,Heyers,41552,1965-01-03,1990-09-28,2001-11-29,Engineer
Uno,Heyers,41552,1965-01-03,1990-09-28,2001-11-29,Senior Engineer
Yucai,Simmen,41609,1965-01-04,1987-10-13,9999-01-01,Senior Staff
Shuji,Remmers,42778,1965-01-19,1987-12-18,9999-01-01,Senior Staff
Shuji,Remmers,42778,1965-01-19,1987-12-18,9999-01-01,Staff
Brigham,Eterovic,42911,1965-01-29,1994-10-08,9999-01-01,Engineer
Brigham,Eterovic,42911,1965-01-29,1994-10-08,9999-01-01,Senior Engineer
Shaleah,Eickenmeyer,42950,1965-01-22,1993-10-09,9999-01-01,Senior Staff
Yucel,Lortz,42955,1965-01-12,1995-02-21,9999-01-01,Engineer
Maha,Waterhouse,43154,1965-01-13,1997-07-04,9999-01-01,Senior Staff
Maha,Waterhouse,43154,1965-01-13,1997-07-04,9999-01-01,Staff
Ottavia,Mitsuhashi,43358,1965-01-07,1989-08-18,1996-07-13,Staff
Huei,Boguraev,43733,1965-01-26,1993-12-31,9999-01-01,Senior Staff
Huei,Boguraev,43733,1965-01-26,1993-12-31,9999-01-01,Staff
Phillip,Oxenboll,43848,1965-01-11,1999-05-26,9999-01-01,Engineer
Alenka,Ritcey,44054,1965-01-18,1997-02-09,9999-01-01,Engineer
Maria,Eppinger,44265,1965-01-24,1997-01-30,9999-01-01,Engineer
Mingzeng,Sadowski,44540,1965-01-16,1989-11-12,9999-01-01,Senior Engineer
Mark,Schwaller,44900,1965-01-05,1994-08-10,9999-01-01,Senior Staff
Mark,Schwaller,44900,1965-01-05,1994-08-10,9999-01-01,Staff
Volkmar,Uhrik,44959,1965-01-21,1988-01-16,9999-01-01,Engineer
Volkmar,Uhrik,44959,1965-01-21,1988-01-16,9999-01-01,Senior Engineer
Sariel,Wynblatt,44962,1965-01-16,1996-05-18,9999-01-01,Assistant Engineer
Dulce,Speel,45162,1965-01-11,1987-10-19,9999-01-01,Engineer
Dulce,Speel,45162,1965-01-11,1987-10-19,9999-01-01,Senior Engineer
Masoud,Genin,45590,1965-01-21,1991-02-16,1994-06-01,Technique Leader
Zhaofang,Penn,46000,1965-01-26,1997-07-24,9999-01-01,Senior Staff
Zhaofang,Penn,46000,1965-01-26,1997-07-24,9999-01-01,Staff
Weiye,Masand,46015,1965-01-19,1995-07-24,2002-01-29,Staff
Mrinalini,Strooper,46222,1965-01-20,1990-03-05,1992-09-04,Staff
Wuxu,Trogemann,46328,1965-01-05,1997-01-27,9999-01-01,Senior Staff
Yaghout,Peng,46531,1965-01-30,1995-10-02,1997-10-07,Assistant Engineer
Junsik,Berendt,46811,1965-01-10,1988-04-27,9999-01-01,Senior Engineer
Tooru,Daescu,46834,1965-01-22,1998-03-20,9999-01-01,Senior Staff
Pasqua,Maraist,46943,1965-01-31,1993-12-06,9999-01-01,Engineer
