first_name,last_name,emp_no,title,from_date,to_date
Amstein,Kossowski,10486,Senior Engineer,1996-10-07,9999-01-01
Yakkov,Servieres,10494,Engineer,1991-12-18,2000-12-17
Yakkov,Servieres,10494,Senior Engineer,2000-12-17,9999-01-01
Xiong,Varker,10504,Staff,1999-10-19,9999-01-01
Udi,Gihr,10512,Senior Staff,1998-11-28,9999-01-01
Udi,Gihr,10512,Staff,1989-11-28,1998-11-28
Yonghoan,Alencar,10519,Senior Staff,2000-12-05,2001-10-13
Yonghoan,Alencar,10519,Staff,1992-12-05,2000-12-05
Marke,Cesareni,10522,Senior Staff,1995-12-12,9999-01-01
Marke,Cesareni,10522,Staff,1986-12-12,1995-12-12
Przemyslawa,Falby,10538,Senior Engineer,1987-07-23,1998-12-13
Godehard,Eiter,10541,Staff,1986-02-28,1986-10-01
Ramalingam,Gunderson,10548,Senior Staff,1993-07-04,9999-01-01
Ramalingam,Gunderson,10548,Staff,1986-07-04,1993-07-04
Jianhao,Thisen,10564,Engineer,1995-11-23,2000-11-22
Jianhao,Thisen,10564,Senior Engineer,2000-11-22,9999-01-01
Theirry,Yeung,10575,Senior Engineer,1988-10-04,2000-11-22
Hidde,Hettesheimer,10591,Staff,1987-06-18,1988-09-20
Adhemar,Talmor,10608,Senior Engineer,1986-05-25,1991-06-02
Hidekazu,Angel,10617,Senior Staff,1991-10-30,2001-10-03
Aleksander,Danlos,10623,Engineer,1992-01-15,1999-01-15
Aleksander,Danlos,10623,Senior Engineer,1999-01-15,9999-01-01
Krisda,Krogh,10628,Assistant Engineer,1987-03-14,1994-03-14
Krisda,Krogh,10628,Engineer,1994-03-14,2001-03-14
Krisda,Krogh,10628,Senior Engineer,2001-03-14,9999-01-01
Lalit,Francisci,10629,Staff,1999-10-20,2001-12-07
Inderjeet,Chaudhuri,10631,Engineer,1994-10-18,9999-01-01
Hirochika,Narlikar,10642,Engineer,1998-10-05,9999-01-01
Otmar,Feinberg,10653,Senior Engineer,1987-04-30,9999-01-01
Parviz,Rebaine,10671,Senior Staff,2001-09-13,9999-01-01
Parviz,Rebaine,10671,Staff,1995-09-14,2001-09-13
Bluma,Zeilberger,10672,Senior Engineer,1991-09-29,1996-04-19
Valeri,Danley,10676,Engineer,1999-09-04,9999-01-01
Berhard,Daescu,10693,Senior Staff,1991-01-08,9999-01-01
Berhard,Daescu,10693,Staff,1986-01-08,1991-01-08
Rildo,Straney,10694,Senior Staff,1993-01-25,2001-07-11
Rildo,Straney,10694,Staff,1988-01-26,1993-01-25
Bader,Szemeredi,10702,Senior Engineer,1991-01-14,9999-01-01
Adib,Rullman,10718,Engineer,1988-07-21,1997-07-21
Adib,Rullman,10718,Senior Engineer,1997-07-21,9999-01-01
Zita,Minakawa,10726,Engineer,1992-02-25,2001-02-24
Zita,Minakawa,10726,Senior Engineer,2001-02-24,9999-01-01
Fumitaka,Peak,10731,Senior Staff,1994-02-20,2000-10-09
Fumitaka,Peak,10731,Staff,1987-02-20,1994-02-20
Sachar,Erdi,10734,Engineer,1995-12-19,9999-01-01
Poorav,Ranze,10745,Engineer,1988-01-23,1997-01-22
Poorav,Ranze,10745,Senior Engineer,1997-01-22,9999-01-01
King,Brendel,10749,Engineer,1985-09-26,1990-09-26
King,Brendel,10749,Senior Engineer,1990-09-26,9999-01-01
Jordanka,Ushiama,10751,Engineer,1999-12-14,2000-12-05
Monique,Doering,10767,Staff,1997-07-15,9999-01-01
Ishfaq,Candan,10768,Engineer,1985-07-04,1990-07-04
Ishfaq,Candan,10768,Senior Engineer,1990-07-04,9999-01-01
Mizuhito,Kemmerer,10777,Engineer,1990-03-17,1996-03-16
Mizuhito,Kemmerer,10777,Senior Engineer,1996-03-16,2001-03-27
Selwyn,Merey,10778,Senior Staff,1986-07-04,9999-01-01
Tadahiko,Sgarro,10791,Engineer,1988-07-30,1995-07-31
Tadahiko,Sgarro,10791,Senior Engineer,1995-07-31,9999-01-01
Supot,Naudin,10795,Senior Staff,1999-05-03,9999-01-01
Supot,Naudin,10795,Staff,1993-05-03,1999-05-03
Katsuyuki,Velasco,10803,Engineer,1988-04-20,1997-04-20
Katsuyuki,Velasco,10803,Senior Engineer,1997-04-20,2002-04-02
Chenxi,Leijenhorst,10808,Senior Engineer,1987-03-07,9999-01-01
Tomoyuki,Kermarrec,10835,Engineer,1995-08-22,9999-01-01
Jianhua,Leivant,10836,Senior Staff,1987-08-10,9999-01-01
Dipayan,Koprowski,10844,Engineer,1997-04-25,9999-01-01
Theirry,Danley,10847,Senior Staff,1992-07-24,9999-01-01
Theirry,Danley,10847,Staff,1986-07-25,1992-07-24
Fen,Bratsberg,10848,Engineer,1985-04-20,1992-04-20
Fen,Bratsberg,10848,Senior Engineer,1992-04-20,9999-01-01
Billur,Gyorkos,10867,Engineer,1997-03-23,2002-03-22
Lakshmi,Deville,10878,Staff,1997-04-25,9999-01-01
Muzhong,Chleq,10879,Senior Engineer,1985-08-15,9999-01-01
Shimshon,Champarnaud,10883,Engineer,1996-12-28,9999-01-01
Vishwani,Petersohn,10895,Staff,1986-04-26,1987-04-13
Georgi,Atchley,10909,Engineer,1993-12-26,2000-12-26
Georgi,Atchley,10909,Senior Engineer,2000-12-26,9999-01-01
Oscal,Fasbender,10912,Senior Staff,1991-04-23,1999-09-26
Oscal,Fasbender,10912,Staff,1986-04-23,1991-04-23
Susumu,Reghbati,10918,Staff,1990-01-29,1990-10-10
Mara,Bahi,10921,Engineer,1986-07-27,1995-07-27
Mara,Bahi,10921,Senior Engineer,1995-07-27,9999-01-01
Hironoby,Atchley,10924,Senior Staff,1997-08-14,9999-01-01
Hironoby,Atchley,10924,Staff,1988-08-14,1997-08-14
Gal,Scallan,10927,Senior Staff,1993-09-12,9999-01-01
Gal,Scallan,10927,Staff,1986-09-12,1993-09-12
Mountaz,Schicker,10936,Senior Staff,1996-05-08,9999-01-01
Mountaz,Schicker,10936,Staff,1990-05-09,1996-05-08
Berna,Skafidas,10943,Engineer,1993-05-22,1999-05-22
Berna,Skafidas,10943,Senior Engineer,1999-05-22,9999-01-01
Eckart,Braunschweig,10965,Senior Staff,1986-07-29,9999-01-01
Premal,Noriega,10969,Senior Engineer,1994-05-12,9999-01-01
Muneo,Papsdorf,10974,Senior Engineer,1999-05-17,9999-01-01
Masako,Schiper,10986,Technique Leader,1985-10-11,9999-01-01
Chinya,Deyuan,10988,Senior Engineer,1985-06-19,9999-01-01
Sumali,Candan,10989,Senior Staff,1991-07-20,9999-01-01
Sumali,Candan,10989,Staff,1985-07-20,1991-07-20
Shin,Foote,10990,Technique Leader,1990-08-06,9999-01-01
Alper,Axelband,11009,Senior Staff,1993-09-09,9999-01-01
Alper,Axelband,11009,Staff,1986-09-09,1993-09-09
Taegyun,Speckmann,11012,Staff,1996-07-06,9999-01-01
Leon,Huttel,11019,Engineer,1992-05-24,1997-05-24
Leon,Huttel,11019,Senior Engineer,1997-05-24,9999-01-01
Srinidhi,Henders,11021,Staff,1998-02-02,9999-01-01
Remzi,Cappello,11027,Assistant Engineer,1986-05-07,1991-05-07
Remzi,Cappello,11027,Engineer,1991-05-07,1996-05-06
Remzi,Cappello,11027,Senior Engineer,1996-05-06,9999-01-01
Miyeon,Krider,11028,Engineer,1986-06-18,1991-06-18
Miyeon,Krider,11028,Senior Engineer,1991-06-18,1997-09-04
Ottavia,Walstra,11031,Senior Staff,1993-10-24,9999-01-01
Ottavia,Walstra,11031,Staff,1985-10-24,1993-10-24
Lansing,Maliniak,11037,Engineer,1988-01-28,1995-01-28
Lansing,Maliniak,11037,Senior Engineer,1995-01-28,9999-01-01
Jinya,Beidas,11038,Senior Staff,1992-07-15,9999-01-01
Jinya,Beidas,11038,Staff,1985-07-15,1992-07-15
Gou,Breugel,11042,Engineer,1993-06-21,2000-06-21
Gou,Breugel,11042,Senior Engineer,2000-06-21,9999-01-01
Jaques,Demke,11048,Senior Staff,1999-05-27,9999-01-01
Elvis,Katiyar,11050,Senior Staff,1991-05-06,9999-01-01
Elvis,Katiyar,11050,Staff,1986-05-06,1991-05-06
Przemyslawa,Erol,11051,Engineer,1991-03-27,2000-03-26
Przemyslawa,Erol,11051,Senior Engineer,2000-03-26,9999-01-01
Adib,Raney,11070,Engineer,1985-07-24,1991-07-24
Adib,Raney,11070,Senior Engineer,1991-07-24,9999-01-01
Barry,Boyle,11081,Senior Staff,1994-06-17,9999-01-01
Barry,Boyle,11081,Staff,1985-06-17,1994-06-17
Hailing,Thummel,11085,Senior Engineer,1996-02-10,9999-01-01
Berna,Cochrane,11100,Senior Staff,1993-10-13,9999-01-01
Berna,Cochrane,11100,Staff,1986-10-13,1993-10-13
Aris,Iwayama,11106,Assistant Engineer,1985-08-31,1991-08-31
Aris,Iwayama,11106,Engineer,1991-08-31,1997-08-30
Aris,Iwayama,11106,Senior Engineer,1997-08-30,9999-01-01
Valeska,Birjandi,11110,Staff,1987-11-14,1992-03-30
Boaz,Mukaidono,11112,Staff,1995-04-28,9999-01-01
Shahab,Peng,11113,Senior Staff,1991-11-30,9999-01-01
Shahab,Peng,11113,Staff,1985-11-30,1991-11-30
Vugranam,Kakkad,11121,Engineer,1992-10-31,1999-11-01
Vugranam,Kakkad,11121,Senior Engineer,1999-11-01,9999-01-01
Nalini,Azulay,11133,Technique Leader,1994-03-06,9999-01-01
Sachar,Rajcani,11134,Engineer,1993-05-19,2002-05-19
Sachar,Rajcani,11134,Senior Engineer,2002-05-19,9999-01-01
Hugh,Luca,11137,Engineer,1995-03-16,9999-01-01
Bogdan,Homond,11139,Senior Staff,1995-05-11,9999-01-01
Bogdan,Homond,11139,Staff,1990-05-11,1995-05-11
Ishfaq,Masand,11146,Senior Staff,1997-08-21,9999-01-01
Ishfaq,Masand,11146,Staff,1991-08-22,1997-08-21
Zhanqiu,Botman,11148,Senior Staff,1997-02-08,9999-01-01
Zhanqiu,Botman,11148,Staff,1990-02-08,1997-02-08
Kauko,Narlikar,11162,Engineer,1985-03-28,1990-03-28
Kauko,Narlikar,11162,Senior Engineer,1990-03-28,9999-01-01
Mitsuyuki,Bojadziev,11180,Engineer,1986-06-11,1992-06-10
Mitsuyuki,Bojadziev,11180,Senior Engineer,1992-06-10,9999-01-01
Tadahiro,Fordan,11197,Senior Staff,1989-09-12,9999-01-01
Sakthirel,Yetto,11203,Senior Staff,1996-01-06,1996-06-15
Sakthirel,Yetto,11203,Staff,1988-01-06,1996-01-06
Diederik,Covnot,11204,Technique Leader,1985-09-18,9999-01-01
Saeed,Gips,11207,Engineer,1999-01-31,9999-01-01
Saniya,Valtorta,11208,Technique Leader,1994-11-17,9999-01-01
Yurij,Rissland,11211,Senior Engineer,1985-09-17,9999-01-01
Kellie,Mawatari,11217,Senior Engineer,1990-03-11,9999-01-01
Hidefumi,Crelier,11232,Senior Staff,2000-08-01,9999-01-01
Hidefumi,Crelier,11232,Staff,1994-08-02,2000-08-01
Kiam,Condotta,11240,Assistant Engineer,1989-01-06,1997-01-06
Kiam,Condotta,11240,Engineer,1997-01-06,9999-01-01
Randi,Cyre,11249,Assistant Engineer,1986-09-22,1994-09-22
Randi,Cyre,11249,Engineer,1994-09-22,9999-01-01
Bezalel,Chinal,11251,Senior Staff,1993-06-15,9999-01-01
Bezalel,Chinal,11251,Staff,1986-06-15,1993-06-15
Aimee,Petersohn,11268,Engineer,1987-10-25,1995-10-25
Aimee,Petersohn,11268,Senior Engineer,1995-10-25,9999-01-01
Hitomi,Eppinger,11275,Engineer,1989-04-25,1998-04-25
Hitomi,Eppinger,11275,Senior Engineer,1998-04-25,9999-01-01
Visit,Dredge,11290,Engineer,1999-05-13,9999-01-01
Gino,Glowinski,11291,Senior Engineer,1985-10-20,2001-04-15
Abdelkader,Lanzelotte,11295,Senior Staff,1990-05-15,9999-01-01
Abdelkader,Lanzelotte,11295,Staff,1985-05-15,1990-05-15
Pranas,Marrakchi,11319,Assistant Engineer,1998-11-01,9999-01-01
Atilio,McAlpine,11320,Senior Staff,1998-04-06,9999-01-01
Atilio,McAlpine,11320,Staff,1990-04-06,1998-04-06
Nathalie,Pocchiola,11322,Assistant Engineer,1985-07-07,1992-07-07
Nathalie,Pocchiola,11322,Engineer,1992-07-07,1999-07-08
Nathalie,Pocchiola,11322,Senior Engineer,1999-07-08,9999-01-01
Kauko,Billingsley,11324,Senior Engineer,1985-08-29,9999-01-01
Kwangsub,Hanratty,11338,Senior Staff,1998-10-28,9999-01-01
Flemming,Massonet,11339,Senior Engineer,1989-12-19,9999-01-01
Anneli,Jonsson,11347,Engineer,1986-04-20,1992-04-19
Anneli,Jonsson,11347,Senior Engineer,1992-04-19,9999-01-01
Toshimi,Shinomoto,11365,Engineer,1997-12-18,9999-01-01
Valery,Suomi,11376,Senior Staff,1994-03-14,9999-01-01
Valery,Suomi,11376,Staff,1986-03-14,1994-03-14
Kenroku,Pelc,11380,Assistant Engineer,1991-04-19,1996-04-18
Kenroku,Pelc,11380,Engineer,1996-04-18,2001-04-18
Kenroku,Pelc,11380,Senior Engineer,2001-04-18,9999-01-01
Shiv,Ullian,11385,Engineer,1999-08-08,9999-01-01
Alselm,Assaf,11386,Engineer,1987-11-30,1993-11-29
Alselm,Assaf,11386,Senior Engineer,1993-11-29,9999-01-01
Junsik,Junot,11393,Engineer,1985-04-30,1992-04-30
Junsik,Junot,11393,Senior Engineer,1992-04-30,9999-01-01
Oscar,Peir,11398,Senior Staff,2001-09-07,9999-01-01
Oscar,Peir,11398,Staff,1994-09-07,2001-09-07
Bedrich,Borovoy,11404,Technique Leader,1990-09-25,9999-01-01
Sanjiv,Anido,11415,Engineer,1996-12-07,9999-01-01
Josyula,Msuda,11421,Engineer,1986-09-02,1995-09-02
Josyula,Msuda,11421,Senior Engineer,1995-09-02,9999-01-01
Youngkon,Picht,11431,Senior Staff,1991-09-16,2001-03-03
Youngkon,Picht,11431,Staff,1985-09-16,1991-09-16
Marlo,Aingworth,11441,Senior Staff,1987-03-27,9999-01-01
Kotesh,Asser,11449,Engineer,1995-02-03,2000-02-03
Kotesh,Asser,11449,Senior Engineer,2000-02-03,9999-01-01
Duke,Suomi,11459,Senior Staff,1992-05-02,9999-01-01
Duke,Suomi,11459,Staff,1986-05-03,1992-05-02
Kish,Cronau,11461,Engineer,1986-08-19,1992-08-18
Kish,Cronau,11461,Senior Engineer,1992-08-18,1997-07-20
Guttorm,Giaccio,11469,Engineer,1994-09-08,1999-09-08
Guttorm,Giaccio,11469,Senior Engineer,1999-09-08,9999-01-01
Fox,Narahari,11477,Engineer,1996-07-28,1996-09-12
Karsten,Ranum,11501,Senior Staff,1999-10-24,2002-03-20
Karsten,Ranum,11501,Staff,1991-10-24,1999-10-24
Rance,Picel,11506,Staff,1996-04-08,9999-01-01
Aleksander,Feldhoffer,11509,Engineer,1987-11-12,1992-11-11
Aleksander,Feldhoffer,11509,Senior Engineer,1992-11-11,9999-01-01
Otmar,Mahnke,11513,Senior Staff,1998-08-25,9999-01-01
Otmar,Mahnke,11513,Staff,1992-08-25,1998-08-25
Ulf,Basawa,11515,Staff,1998-09-21,9999-01-01
Jinxi,Oxman,11518,Senior Staff,1999-09-22,9999-01-01
Jinxi,Oxman,11518,Staff,1994-09-22,1999-09-22
Xiadong,Standera,11524,Senior Engineer,1996-07-05,9999-01-01
Alagu,Boyle,11527,Staff,1999-01-28,9999-01-01
Zito,Dolinsky,11528,Technique Leader,1987-06-15,9999-01-01
DAIDA,Pehl,11537,Senior Staff,1986-07-06,9999-01-01
Subhash,Taubenfeld,11554,Staff,1998-07-15,9999-01-01
Kotesh,Perfilyeva,11555,Senior Staff,1991-10-14,9999-01-01
Kotesh,Perfilyeva,11555,Staff,1986-10-14,1991-10-14
Rimli,Alencar,11562,Engineer,1988-06-30,1994-12-13
Teiji,Mitzlaff,11567,Senior Staff,1996-02-03,9999-01-01
Teiji,Mitzlaff,11567,Staff,1988-02-03,1996-02-03
Martins,Fujisaki,11568,Engineer,1992-03-13,2000-03-13
Martins,Fujisaki,11568,Senior Engineer,2000-03-13,9999-01-01
Edwin,Rosti,11578,Engineer,1985-11-22,1991-11-22
Edwin,Rosti,11578,Senior Engineer,1991-11-22,2002-02-17
Kaijung,Panangaden,11588,Senior Staff,1994-12-24,1995-06-12
Herb,Swen,11603,Senior Staff,1994-04-13,9999-01-01
Herb,Swen,11603,Staff,1985-04-13,1994-04-13
Tomokazu,Foong,11607,Engineer,1995-04-19,9999-01-01
Shem,Isaak,11615,Senior Staff,2000-08-28,9999-01-01
Shem,Isaak,11615,Staff,1991-08-29,2000-08-28
Adil,Gammage,11624,Engineer,1989-07-15,1996-07-15
Adil,Gammage,11624,Senior Engineer,1996-07-15,9999-01-01
Fan,Malinowski,11628,Engineer,1988-10-23,1997-10-23
Fan,Malinowski,11628,Senior Engineer,1997-10-23,9999-01-01
Valeri,Coorg,11640,Senior Engineer,1988-09-26,9999-01-01
Magy,Nitsche,11647,Engineer,1988-05-11,1993-05-11
Magy,Nitsche,11647,Senior Engineer,1993-05-11,9999-01-01
Gill,Stenning,11660,Senior Staff,1994-11-22,9999-01-01
Gill,Stenning,11660,Staff,1986-11-22,1994-11-22
Henk,Felder,11673,Technique Leader,1989-06-10,9999-01-01
Valeri,Ferriere,11676,Engineer,1998-07-15,9999-01-01
Fumitake,Benzmuller,11681,Engineer,1988-08-27,1995-08-28
Fumitake,Benzmuller,11681,Senior Engineer,1995-08-28,9999-01-01
Oksana,Gide,11684,Senior Staff,1995-02-21,9999-01-01
Oksana,Gide,11684,Staff,1986-02-21,1995-02-21
Dante,Rothe,11696,Senior Staff,1994-10-23,9999-01-01
Dante,Rothe,11696,Staff,1985-10-23,1994-10-23
Arve,Hofmeyr,11705,Senior Staff,1990-10-30,1994-06-30
Arve,Hofmeyr,11705,Staff,1985-10-30,1990-10-30
Sanjoy,Ranft,11732,Senior Engineer,1996-12-22,9999-01-01
Amalendu,Picci,11735,Senior Staff,1997-07-14,9999-01-01
Amalendu,Picci,11735,Staff,1988-07-14,1997-07-14
Tadahiro,Lichtman,11738,Engineer,1986-06-19,1992-06-18
Tadahiro,Lichtman,11738,Senior Engineer,1992-06-18,1995-06-27
Koichi,Marrakchi,11746,Senior Staff,1995-11-18,9999-01-01
Koichi,Marrakchi,11746,Staff,1988-11-17,1995-11-18
Aksel,Kossowski,11747,Senior Staff,1993-02-20,1999-01-16
Aksel,Kossowski,11747,Staff,1986-02-20,1993-02-20
Jiafu,Emiris,11751,Senior Staff,1993-11-03,9999-01-01
Jiafu,Emiris,11751,Staff,1988-11-03,1993-11-03
Sanjay,Anick,11764,Engineer,1991-12-16,1996-12-15
Sanjay,Anick,11764,Senior Engineer,1996-12-15,9999-01-01
Chandrasekaran,Lampe,11769,Senior Staff,2001-10-22,9999-01-01
Chandrasekaran,Lampe,11769,Staff,1993-10-22,2001-10-22
Gaurav,Penz,11772,Engineer,1999-11-07,9999-01-01
Chenxi,Thambidurai,11797,Senior Staff,1996-08-30,9999-01-01
Chenxi,Thambidurai,11797,Staff,1988-08-30,1996-08-30
Rosine,Grandbois,11805,Assistant Engineer,1985-09-01,1991-02-05
Amabile,Bhattacharjee,11810,Senior Engineer,1992-01-05,9999-01-01
Gita,Muhlberg,11813,Staff,1987-03-16,1991-07-20
Niranjan,Markovitch,11817,Senior Staff,1993-04-12,9999-01-01
Niranjan,Markovitch,11817,Staff,1986-04-12,1993-04-12
Arto,Zlotek,11832,Engineer,1996-02-04,9999-01-01
Taiji,Nitta,11838,Staff,1986-07-11,1991-05-09
Shawna,Demeyer,11844,Engineer,1988-01-27,1995-01-27
Shawna,Demeyer,11844,Senior Engineer,1995-01-27,9999-01-01
Zeljko,Kusakabe,11853,Senior Staff,1996-11-17,9999-01-01
Zeljko,Kusakabe,11853,Staff,1988-11-17,1996-11-17
Divier,Farrag,11857,Senior Staff,1986-08-27,9999-01-01
Pradeep,Kriebel,11864,Staff,1995-11-02,9999-01-01
Nalini,Sommen,11871,Engineer,1993-10-13,1998-10-13
Nalini,Sommen,11871,Senior Engineer,1998-10-13,9999-01-01
Cheong,Riexinger,11872,Senior Staff,2002-02-12,9999-01-01
Cheong,Riexinger,11872,Staff,1994-02-12,2002-02-12
Nectarios,Bhattacharjee,11883,Engineer,1988-04-16,1990-10-28
Mitchel,Validov,11894,Senior Engineer,1988-06-22,9999-01-01
Cordelia,Setlzner,11897,Senior Staff,1997-06-16,9999-01-01
Cordelia,Setlzner,11897,Staff,1988-06-16,1997-06-16
Hideo,Boguraev,11906,Engineer,1999-02-07,9999-01-01
Miomir,Mawatari,11915,Engineer,1992-06-28,2001-06-28
Miomir,Mawatari,11915,Senior Engineer,2001-06-28,9999-01-01
Gunilla,Chiodo,11931,Senior Staff,2000-01-13,9999-01-01
Gunilla,Chiodo,11931,Staff,1991-01-13,2000-01-13
Basil,Erman,11933,Engineer,1987-06-13,1992-06-12
Basil,Erman,11933,Senior Engineer,1992-06-12,9999-01-01
Martijn,Harbusch,11949,Technique Leader,1985-03-11,9999-01-01
Jaana,Hedayat,11983,Engineer,1986-10-11,1994-10-11
Jaana,Hedayat,11983,Senior Engineer,1994-10-11,9999-01-01
Vidya,Schaar,11987,Senior Staff,1994-10-17,1997-12-04
Vidya,Schaar,11987,Staff,1988-10-17,1994-10-17
